id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
44824,Men,Footwear,Sandal,Sandals,Tan,Winter,2013.0,Casual,Clarks Men Tan Brown Leather Sandals
10742,Women,Footwear,Shoes,Casual Shoes,Orange,Winter,2012.0,Casual,Disney Kids Girl Pooh Face Orange Casual Shoes
58326,Women,Footwear,Flip Flops,Flip Flops,White,Summer,2012.0,Casual,Lotto Women White Flip Flops
36619,Women,Footwear,Shoes,Heels,Turquoise Blue,Winter,2015.0,Casual,Catwalk Women Turquoise Blue Flats
44503,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Gliders Women Grey & Orange Shoes
32517,Men,Footwear,Sandal,Sandals,Brown,Summer,2013.0,Casual,Franco Leone Men Brown Sandals
17490,Women,Footwear,Shoes,Heels,Black,Fall,2011.0,Casual,Rockport Women Casual Black Flats
3658,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Fila Men's Tribute Black Shoe
57001,Women,Footwear,Shoes,Flats,Black,Winter,2012.0,Casual,HM Women Black Sandals
33853,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Casual,Puma Men Bolt Hawthorne Hex Grey Shoes
6445,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Lotto Men's Calcetto Black Red Shoe
19050,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Closed Brown Sandals
38539,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Puma Men Black California Casual Shoes
22825,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2016.0,Casual,Woodland Men Khaki Casual Shoes
39910,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue & Red F10 Sports Shoes
10282,Women,Footwear,Shoes,Flats,Black,Winter,2013.0,Casual,Clarks Women Spice Pat Black Flats
36516,Men,Accessories,Belts,Belts,Beige,Summer,2012.0,Casual,United Colors of Benetton Men Beige Belt
45154,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Casio Enticer Men Silver Analogue Watch MTP-1303D-7BVDF(A495)
28196,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Ray-Ban Men Caravan Black Sunglasses
25674,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Fastrack Women Silver Dial Watch NA6004SL01
14151,Men,Accessories,Cufflinks,Cufflinks,Steel,Fall,2011.0,Formal,Belmonte Men Bright Assorted Steel Cufflinks
4684,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Sports,ADIDAS 3S Black Unisex Backpack
8312,Men,Accessories,Bags,Backpacks,Black,Winter,2016.0,Casual,Fastrack Men Black & Orange Backpack
31722,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings
48757,Women,Accessories,Jewellery,Jewellery Set,White,Summer,2012.0,Casual,Miki Pearl Women Ivory Jewellery Set
8260,Women,Accessories,Bags,Handbags,White,Winter,2016.0,Casual,Fastrack White Printed Tote Bag
38235,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Polaroid Unisex Sunglasses
45872,Men,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Maxima Men Dark Grey Dial Watch
14900,Women,Accessories,Wallets,Wallets,Black,Summer,2011.0,Casual,United Colors of Benetton Women Solid Black Wallets
20395,Women,Accessories,Wallets,Wallets,Purple,Winter,2015.0,Casual,Baggit Women Oscar Taj Purple Wallet
33618,Women,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,Lino Perros Women Brown Wallet
37540,Boys,Accessories,Gloves,Gloves,Yellow,Summer,2012.0,Casual,Madagascar 3 Infant Boys Yellow Mittens
40533,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Titan Women White Dial Watch
58542,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Miami Blues Men Sunglasses
18996,Unisex,Accessories,Headwear,Caps,Red,Summer,2011.0,Casual,ADIDAS Originals Unisex Red Cap
59547,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Silver Earrings
49673,Men,Accessories,Eyewear,Sunglasses,Steel,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass
51574,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Black Watch
32004,Men,Accessories,Socks,Socks,Beige,Summer,2016.0,Formal,Playboy Men Beige Socks
48744,Men,Accessories,Jewellery,Bangle,Steel,Summer,2015.0,Casual,Revv Men Steel Bangle
36891,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Casual,Fossil Men Brown Glenn Belt
20599,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Baggit Women Brown Curls Hoor Handbag
40546,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Titan Raga Women Black Dial Watch
34464,Unisex,Accessories,Accessories,Travel Accessory,Red,Summer,2012.0,Casual,ADIDAS Unisex Red Organizer Bag
17420,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Enticer Men Black Dial Analogue Watch A479
33991,Women,Accessories,Scarves,Scarves,Red,Summer,2012.0,Casual,Femella Women Printed Red Scarf
40537,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Titan Women White Dial Watch
42639,Women,Accessories,Jewellery,Bracelet,Gold,Winter,2016.0,Casual,Estelle Women Gold Bracelet
50282,Men,Accessories,Ties,Ties,Grey,Summer,2012.0,Formal,Parx Men Grey and Black Tie
52812,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,JAG Men Black Leather Wallet
29007,Men,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,Cabarelli Men Black Backpack
57744,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Fresh Ivory Daily Foundation 350
49152,Women,Personal Care,Lips,Lip Liner,Copper,Spring,2017.0,,Deborah Extra Lip Liner 05
57793,Women,Personal Care,Makeup,Compact,Skin,Spring,2017.0,,Lotus Herbals Natural Blend Botanical Compact 550
44186,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,Nike Fragrances Men 5th Element Perfume
49141,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,2017.0,Casual,Deborah Euphoric Shine Lip Gloss 10
57605,Women,Personal Care,Lips,Lipstick,Burgundy,Spring,2017.0,Casual,Lotus Herbals Moistpetals Burgundy Lipstick 111
56162,Women,Personal Care,Makeup,Kajal and Eyeliner,Black,Spring,2017.0,Casual,Colorbar I-Define Midnight Black Eye Liner 007
49071,Women,Personal Care,Nails,Nail Polish,Orange,Spring,2017.0,,Deborah Orange 7 Days Long Nail Polish 835
56193,Women,Personal Care,Makeup,Highlighter and Blush,Pink,Spring,2017.0,Casual,ColorBar Cinnabar Blusher 11
26004,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,Paris Hilton Women Perfume
56023,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,ColorBar Soft Touch Bingo Lipstick 029
46686,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017.0,Casual,Rasasi Women Feeling Perfume
49144,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,2017.0,Casual,Deborah Euphoric Shine 14 Lip Gloss
56572,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,,Streetwear Stay On Mineral Natural Foundation
55236,Women,Personal Care,Makeup,Foundation and Primer,Skin,Summer,2019.0,Casual,Lakme Invisible Finish 01 Foundation
23609,Women,Personal Care,Fragrance,Deodorant,White,Spring,2017.0,Casual,Nike Fragrances Women Blue Fantasy Deo
56142,Women,Personal Care,Makeup,Eyeshadow,Gold,Spring,2017.0,Casual,Colorbar Gorgeous Gold Eye Shadow 001
56122,Women,Personal Care,Makeup,Foundation and Primer,Skin,Spring,2017.0,Casual,Colorbar Beige Perfect Match Foundation
44030,Men,Personal Care,Perfumes,Perfume and Body Mist,Orange,Spring,2017.0,Casual,dunhill Men Pursuit Perfume
55268,Women,Personal Care,Makeup,Kajal and Eyeliner,Grey,Spring,2017.0,Casual,Lakme Absolute Shine Line Smoky Grey Eye Liner
49117,Women,Personal Care,Lips,Lipstick,Red,Spring,2017.0,Casual,Deborah Red 24 Power 05 Lipstick
57867,Women,Personal Care,Skin Care,Sunscreen,Yellow,Spring,2017.0,Casual,Biotique Women Bio Aloevera SPF 30 Sunscreen Lotion
56395,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,Estee Lauder Women Beautiful 75 ml Perfume
26746,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Reebok Men Reeload Deo
56486,Women,Personal Care,Nails,Nail Polish,Red,Spring,2017.0,,Streetwear Berry Shine Nail Polish # 79
55376,Women,Personal Care,Nails,Nail Polish,White,Spring,2017.0,Casual,Revlon Ooh La La Lilac Nail Polish 324
27317,Women,Personal Care,Fragrance,Perfume and Body Mist,Orange,Spring,2017.0,Casual,ADIDAS Women Fresh Escape Perfume
55553,Women,Personal Care,Makeup,Kajal and Eyeliner,Blue,Spring,2017.0,Casual,Revlon Aqua Blue Eye Pencil 15
55887,Women,Personal Care,Nails,Nail Polish,Peach,Spring,2017.0,Casual,Colorbar Exclusive Nail Lacquer 20
26733,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,2017.0,Casual,Reebok Men Chennai Super Kings Deo
28232,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017.0,Casual,Playboy Men Miami Deo
55503,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,Casual,Revlon Shine City Super Lustrous Lip Gloss 02
23616,Men,Personal Care,Fragrance,Perfume and Body Mist,Green,Spring,2017.0,Casual,Nike Fragrances Men Pack of 3 Perfumes
44083,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Dunhill Men Perfume
55191,Women,Personal Care,Nails,Nail Polish,Blue,Spring,2017.0,Casual,Lakme Absolute Fast & Fabulous Aqua Express Nail Polish 06
50234,Women,Free Items,Free Gifts,Free Gifts,White,Summer,2017.0,Casual,Stoln Women White Sunglasses
45279,Women,Free Items,Free Gifts,Free Gifts,Orange,Summer,2015.0,Casual,Lino Perros Women Orange Wallet
16943,Women,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,Image Women Black Sunglasses
29983,Women,Free Items,Free Gifts,Free Gifts,White,Winter,2016.0,Casual,Aspen Women White Dial Watch
53596,Men,Free Items,Free Gifts,Free Gifts,Navy Blue,Winter,2016.0,Casual,Q&Q Men Navy Blue Digital Watch
54970,Women,Free Items,Free Gifts,Free Gifts,Pink,Spring,2017.0,Casual,Rasasi Women Body Lotion
28367,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,IDEE Men Steel Sunglasses
44966,Men,Free Items,Free Gifts,Free Gifts,Gold,Winter,2016.0,Casual,Maxima Men Gold Dial Watch
15349,Men,Free Items,Free Gifts,Free Gifts,Blue,Winter,2012.0,Sports,Nike Men Blue Team India Cricket Jersey
28365,Men,Free Items,Free Gifts,Free Gifts,Brown,Winter,2016.0,Casual,IDEE Men Brown Sunglasses
53598,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Sports,Q&Q Men Black Digital Watch
25088,Men,Free Items,Free Gifts,Wallets,Black,Summer,2015.0,Casual,Lino Perros Men Leather Black Wallet
31828,Men,Free Items,Free Gifts,Free Gifts,Silver,Winter,2016.0,Casual,Titan Men Off White Dial Watch
44963,Men,Free Items,Free Gifts,Free Gifts,Gold,Winter,2016.0,Casual,Maxima Men Gold Dial Watch
51077,Women,Free Items,Free Gifts,Free Gifts,Yellow,Summer,2012.0,Ethnic,Satya Paul Yellow Saree
33637,Men,Free Items,Free Gifts,Free Gifts,White,Winter,2016.0,Casual,Timex Men White Dial Watch
29990,Women,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,Aspen Women Black Dial Watch
57457,Women,Free Items,Free Gifts,Free Gifts,Mustard,Summer,2015.0,Casual,Pitaraa Women Mustard Clutch
45928,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,Maxima Men Black Dial Watch
53627,Men,Free Items,Free Gifts,Free Gifts,White,Winter,2016.0,Casual,Q&Q Men White Dial Watch
51081,Women,Free Items,Free Gifts,Free Gifts,Yellow,Summer,2012.0,Ethnic,Satya Paul Yellow & Black Saree
53566,Unisex,Free Items,Free Gifts,Free Gifts,White,Winter,2016.0,Casual,Q&Q Kids Unisex White Dial Watch
47341,Women,Free Items,Free Gifts,Handbags,Black,Summer,2010.0,Casual,Baggit Black Sling Bag
43294,Women,Free Items,Free Gifts,Free Gifts,Maroon,Summer,2015.0,Casual,Murcia Women Maroon Elektra Sling Bag
53599,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Sports,Q&Q Men Black Digital Watch
49718,Men,Free Items,Free Gifts,Ties,Red,Summer,2012.0,Formal,Park Avenue Red Checked Tie
51126,Women,Free Items,Free Gifts,Free Gifts,Pink,Summer,2012.0,Ethnic,Satya Paul Pink Saree
51090,Women,Free Items,Free Gifts,Free Gifts,Red,Summer,2012.0,Ethnic,Satya Paul Red & Grey Saree
53617,Unisex,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,Q&Q Unisex Black Digital Watch
51075,Women,Free Items,Free Gifts,Free Gifts,Cream,Summer,2012.0,Ethnic,Satya Paul Cream and Brown Saree
45824,Women,Free Items,Vouchers,Ipad,Blue,Summer,2012.0,Casual,Senorita Women Blue Flats
57600,Women,Free Items,Free Gifts,Free Gifts,Purple,Spring,2017.0,Casual,Lotus Herbals Moistpetals Royal Plum Lipstick 116
29982,Women,Free Items,Free Gifts,Free Gifts,White,Winter,2016.0,Casual,Aspen Women White Dial Watch
29448,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,Giordano Men Black Dial Watch
30084,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016.0,Casual,Ed Hardy Men Black & Green Dial Watch
8934,Unisex,Sporting Goods,Wristbands,Wristbands,Black,Fall,2011.0,Casual,Puma Unisex Fundamentals Black Wristbands
1550,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Cat Trainer-WBL Football
42830,Unisex,Sporting Goods,Wristbands,Wristbands,Black,Summer,2012.0,Sports,Nike Unisex Swoosh Black Wristbands
8426,Unisex,Sporting Goods,Sports Equipment,Basketballs,Red,Fall,2011.0,Sports,Spalding Unisex NBA Team Raptors SZ7 Red Basketball
2356,Unisex,Sporting Goods,Sports Equipment,Basketballs,Black,Winter,2010.0,Sports,ADIDAS Black & White Unisex Basketball
1552,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Power Cat Trainer-WR Football
4010,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Summer,2011.0,Sports,Spalding 150 SZ Brown Basketball
4013,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Summer,2011.0,Casual,Spalding  177z NBA School Brown Basketball
4009,Unisex,Sporting Goods,Sports Equipment,Basketballs,Blue,Summer,2011.0,Casual,Spalding Blue Basketball
42829,Unisex,Sporting Goods,Wristbands,Wristbands,White,Summer,2012.0,Sports,Nike Unisex Swoosh White Wristbands
13670,Unisex,Sporting Goods,Sports Equipment,Footballs,Gold,Fall,2011.0,Casual,Puma Unisex Liga XL Football
8427,Unisex,Sporting Goods,Sports Equipment,Basketballs,Blue,Fall,2011.0,Sports,Spalding Unisex Blue Basketball
4012,Unisex,Sporting Goods,Sports Equipment,Basketballs,Black,Summer,2011.0,Sports,Spalding 508z Black Basketball
1628,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Summer,2011.0,Sports,Kipsta Xtra Bounce Basketball
4008,Unisex,Sporting Goods,Sports Equipment,Basketballs,Yellow,Summer,2011.0,Sports,Spalding Unisex Ochre Yellow Basketball
4011,Unisex,Sporting Goods,Sports Equipment,Basketballs,Grey,Summer,2011.0,Sports,Spalding Buror Grey Basketball
1627,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Kipsta F300 Football
42828,Unisex,Sporting Goods,Wristbands,Wristbands,Red,Summer,2012.0,Sports,Nike Unisex Swoosh Red Wristbands
1551,Unisex,Sporting Goods,Sports Equipment,Footballs,Orange,Fall,2010.0,Sports,Puma Power Cat Trainer-OB Football
8422,Unisex,Sporting Goods,Sports Equipment,Basketballs,Red,Fall,2011.0,Sports,Spalding Unisex NBA Highlight Red Basketballs
2355,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,ADIDAS Red Bull Trophy Soccer Unisex Football
2354,Unisex,Sporting Goods,Sports Equipment,Basketballs,Black,Winter,2010.0,Sports,ADIDAS Black Bounce Unisex Basketball
1553,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Power Cat Hard Ground Football
1626,Unisex,Sporting Goods,Sports Equipment,Footballs,Blue,Summer,2011.0,Sports,Kipsta F300 Football Size 5 Football
4007,Unisex,Sporting Goods,Sports Equipment,Basketballs,Orange,Summer,2011.0,Sports,Spalding Unisex Nash Orange Basketball
40826,Unisex,Home,Home Furnishing,Cushion Covers,Yellow,Fall,2012.0,Home,Swayam Unisex Yellow and Orange Cushion Covers (Set of 2)
16865,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Women Funky Eyewear Black Sunglasses
33316,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Arrow New York Men Grey Striped Slim Fit Shirt
18538,Unisex,Footwear,Shoes,Casual Shoes,Red,Summer,2012.0,Casual,Puma Unisex Limnos Red Casual Shoes
53608,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Men White Digital Watch
25952,Women,Accessories,Scarves,Scarves,Blue,Summer,2012.0,Casual,Femella Women Printed Blue Scarf
46924,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,2017.0,Casual,York Men Black Black XX Prestige Perfume
39646,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Lotto Men Black Casual Shoes
22184,Men,Footwear,Shoes,Casual Shoes,Tan,Fall,2012.0,Casual,Timberland Men Tan Casual Shoes
18469,Men,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017.0,Casual,Reebok Reeplay Men Perfumes
42136,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men White Air Max Full Court Sports Shoes
52641,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Mod-acc Women Red Handbag
27022,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans
34055,Boys,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Palm Tree Boys Washed Blue 3/4 Length Pants
4232,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Probase Men's Screw U Green T-shirt
38559,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Men Polo Club Purple T-shirt
24359,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,Folklore Women Blue  Kurta
47458,Women,Footwear,Shoes,Heels,Black,Summer,2012.0,Casual,Tiptopp Women Black Wedges
52083,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Myntra Women White T-shirt
10788,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Malbork White Shirt
33924,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Citizen Women White Dial Watch
52257,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Crusoe Men Red Boxer Briefs
29217,Women,Accessories,Socks,Socks,White,Fall,2014.0,Sports,Fila Women White Socks
13910,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Court Shuttle White Sports Shoes
45723,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012.0,Ethnic,Folklore Women Yellow Kurta
57883,Women,Personal Care,Skin,Face Moisturisers,White,Spring,2017.0,Casual,Biotique Bio Winter Green Spot Correcting Anti-Acne Cream
12069,Women,Apparel,Topwear,Kurtas,White,Fall,2011.0,Ethnic,W Women Printed White Kurtas
35407,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Enroute Men Black Formal Shoes
44238,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Nike Women White and Red Sneakers
14648,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Probase Men White Grafitti Black Tshirts
55281,Women,Personal Care,Makeup,Highlighter and Blush,Pink,Spring,2017.0,Casual,Lakme Cheek Chromatic Baked Blusher
15645,Men,Apparel,Bottomwear,Shorts,Black,Winter,2014.0,Sports,Nike Black Dri-fit Cotton     Cricket  Shorts
35539,Girls,Footwear,Sandal,Sandals,Purple,Summer,2012.0,Casual,Enroute Teens Purple Sandals
57346,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Amante White Bra-BGEC01
